Year,blueline1,blueline2,blueline3,blueline4,blueline5,blueline6,redline1,redline2,redline3,redline4,redline5,redline6,Precipitation,Temperature,BW,GW,Region,Scenario
2093,85.88792735,78.62792735,86.16220085,80.57273504,85.53623932,56.21641026,17.73302073,17.00846902,17.08918739,19.79756603,17.42676453,20.75407179,56.21641026,20.75407179,5.575603419,53.3380391,Crop Lands,CNRM-SSP126
2094,87.85564103,60.80134615,82.60679487,62.94504274,60.75649573,66.69,17.30604744,19.21620385,17.63350214,19.90031218,18.41469979,17.40495513,66.69,17.40495513,9.123887821,58.92685235,Crop Lands,CNRM-SSP126
2095,72.01284188,50.70985043,86.42245726,58.94393162,86.05017094,25.0424359,17.37338184,18.82296645,18.42119594,17.97427137,16.32697115,20.4869203,25.0424359,20.4869203,2.177966026,32.19711517,Crop Lands,CNRM-SSP126
2096,77.42544872,89.46047009,77.15764957,70.5182265,71.46474359,117.6857479,17.86368312,17.97871944,17.01120598,19.27018761,17.25086368,16.86168547,117.6857479,16.86168547,17.02701581,78.29009423,Crop Lands,CNRM-SSP126
2097,61.31502137,81.25301282,62.00777778,58.27074786,70.28433761,74.35764957,17.71650278,17.91728526,18.09080684,19.79672094,19.18268077,17.43210192,74.35764957,17.43210192,13.7594265,65.93315791,Crop Lands,CNRM-SSP126
2098,96.69267094,82.92856838,75.76583333,68.03978632,41.32611111,75.99305556,18.34091923,16.38962286,17.88483868,20.48584444,18.53965171,17.67291132,75.99305556,17.67291132,8.441915385,58.90547991,Crop Lands,CNRM-SSP126
2099,93.09709402,61.90168803,70.9659188,81.49008547,69.69564103,56.00397436,17.00069274,17.58877863,18.4822265,18.40212735,17.9720656,18.5168047,56.00397436,18.5168047,7.97138953,56.8473688,Crop Lands,CNRM-SSP126
2070,106.238139,92.12811502,72.47595847,78.44277157,76.51549521,77.43027157,18.30178195,16.35411462,18.7577496,18.69656909,16.53746326,19.27446925,77.43027157,19.27446925,5.669796725,82.25934065,Natural Lands,CNRM-SSP126
2071,126.0242013,73.41709265,80.93238818,76.8909345,81.25307508,87.5850639,17.93289137,16.32757907,17.13333027,19.14882548,16.52482548,17.01156829,87.5850639,17.01156829,14.94241014,81.4935599,Natural Lands,CNRM-SSP126
2072,108.0800719,98.07284345,75.34820288,88.58801917,113.8182907,144.0109824,18.60513618,17.50633906,17.33942093,17.28401358,16.45928554,17.02755152,144.0109824,17.02755152,35.6680631,87.46880791,Natural Lands,CNRM-SSP126
2073,110.7877796,75.82567891,118.9326278,97.94153355,85.0524361,89.56489617,18.14882388,17.23109305,16.34015815,16.05352476,17.53716094,18.73111102,89.56489617,18.73111102,21.21659864,87.21383626,Natural Lands,CNRM-SSP126
2074,92.8577476,83.08634185,63.52460064,75.06713259,69.48374601,86.52324281,18.09021206,16.92816134,18.56951637,20.12639856,17.64908986,18.35154513,86.52324281,18.35154513,17.09175639,85.45343091,Natural Lands,CNRM-SSP126
2075,93.07799521,78.07188498,74.43989617,96.96178115,67.31685304,71.53550319,19.42164257,17.24885503,18.03704952,18.61840455,17.50758067,16.68886422,71.53550319,16.68886422,18.96161981,76.25007748,Natural Lands,CNRM-SSP126
2076,102.1414936,69.47260383,95.71142173,70.21477636,116.5751597,86.32531949,18.68117572,17.39778794,17.09919728,18.30548842,16.15742492,18.83746406,86.32531949,18.83746406,21.93064337,83.12560942,Natural Lands,CNRM-SSP126
2077,102.926238,90.87392173,105.3132588,103.7994808,90.07416134,108.9969249,17.40016613,16.9127508,15.65550879,16.99053035,19.23679872,17.23549521,108.9969249,17.23549521,27.99203075,84.67916893,Natural Lands,CNRM-SSP126
2078,82.1658147,74.48917732,79.82304313,61.66158147,77.66717252,89.56485623,18.72358986,15.85357867,15.90690535,18.74767412,17.42979153,17.11723562,89.56485623,17.11723562,25.61869768,79.80350998,Natural Lands,CNRM-SSP126
2079,101.9911741,57.2811901,83.20175719,76.91577476,87.47360224,68.20547125,18.50650998,17.76950719,17.77660583,18.44825359,15.93957548,18.3304365,68.20547125,18.3304365,14.74063019,79.38963498,Natural Lands,CNRM-SSP126
2080,91.3903754,80.85870607,78.75523163,58.61569489,91.15463259,83.451877,17.37899561,17.26011462,17.6903762,18.4780619,16.8223754,17.96830032,83.451877,17.96830032,21.52879393,77.87801238,Natural Lands,CNRM-SSP126
2081,83.6264377,101.8646166,80.45,89.29932109,77.65351438,59.43107029,17.21293291,17.72026837,16.52698682,16.99588139,15.89488379,18.50373083,59.43107029,18.50373083,8.996561102,69.19270887,Natural Lands,CNRM-SSP126
2082,81.79404952,89.76441693,70.36361821,97.51226038,104.4610623,98.89760383,17.83427356,18.20404034,19.23982708,17.5269377,15.1956234,16.62258027,98.89760383,16.62258027,19.06786382,80.8482484,Natural Lands,CNRM-SSP126
2083,95.59736422,81.74724441,89.40722843,74.70291534,66.64940096,89.04636581,17.3151901,17.71119569,17.92805911,18.27453035,17.6456853,17.82106789,89.04636581,17.82106789,16.12817093,79.63862899,Natural Lands,CNRM-SSP126
2084,93.79001597,97.43829872,86.33546326,115.8501997,66.18662141,26.88905751,17.52823762,16.47897204,15.98606629,19.05186102,17.73430471,20.39483866,26.88905751,20.39483866,7.331822284,64.37544169,Natural Lands,CNRM-SSP126
2085,103.7079473,77.0692492,95.63550319,86.72951278,71.88769968,43.32412141,16.21106909,17.63189976,16.62009145,18.73329513,15.29445487,18.07907388,43.32412141,18.07907388,11.86064696,69.7864361,Natural Lands,CNRM-SSP126
2086,96.48658147,86.48945687,102.7076677,80.52104633,90.20670927,88.96597444,16.90530871,18.23929473,19.20539137,19.55144249,18.48653115,18.31905351,88.96597444,18.31905351,27.13966693,79.27553514,Natural Lands,CNRM-SSP126
